"","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","Peak.Score","Focus.Ratio.Region.Size","Detailed.Annotation","Gene.Name"
"5816",-1.49819383694571,0.124,0.483,4.56759329994244e-180,4,"Top2a",66.425003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Top2a"
"5817",-0.420368615956199,0.965,0.988,1.97235194804488e-179,4,"Eif5a",70.149994,"Sample6peaks.txt|Sample8peaks.txt","Promoter","Eif5a"
"5818",0.384750723638383,0.944,0.739,2.21046173386485e-178,4,"Adipor1",59.450001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Adipor1"
"5819",0.378343465502381,1,1,9.68596379915663e-178,4,"Fth1",73.550003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Fth1"
"5820",-0.482083865590311,0.986,0.992,1.11671948674568e-177,4,"Ly6e",NA,NA,NA,NA
"5821",0.353460676990982,1,0.998,5.70813525266652e-175,4,"Psap",27.325001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Psap"
"5822",0.390869523951387,0.951,0.785,7.43940993802492e-175,4,"Man1c1",80.625,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Man1c1"
"5823",-0.584666638433814,0.429,0.695,3.48983222781417e-174,4,"Cbx5",67.824997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cbx5"
"5824",-0.488523486595952,0.387,0.701,3.09176897090465e-172,4,"Nop58",30.025,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Nop58"
"5825",-0.518145996018523,0.661,0.824,1.24869278528285e-171,4,"Anp32e",71.675003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Anp32e"
"5826",-0.457750930087123,0.151,0.527,6.1823577046722e-170,4,"Lbr",65.275002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Lbr"
"5827",-0.527467038312508,0.443,0.718,3.63852354719688e-168,4,"Nasp",27.15,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Nasp"
"5828",0.364977141553741,0.299,0.034,3.823474197658e-167,4,"Lgals3",NA,NA,NA,NA
"5829",-0.880556428127615,0.277,0.577,5.3720219402003e-163,4,"Smc2",NA,NA,NA,NA
"5830",-0.571656763389169,0.178,0.521,1.65382833202023e-161,4,"Mcm6",41.875,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mcm6"
"5831",0.385080051976054,0.935,0.749,1.84981547882792e-160,4,"Cd86",NA,NA,NA,NA
"5832",-0.435073460271097,0.542,0.765,1.4079893111017e-159,4,"Alyref",NA,NA,NA,NA
"5833",-0.572254158200978,0.239,0.56,4.84673310009853e-159,4,"Rrm1",61.900002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Rrm1"
"5834",-0.486194088192282,0.115,0.475,7.3274461224114e-159,4,"Hirip3",21.375,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hirip3"
"5835",-0.46654684528458,0.12,0.484,1.87054872883247e-157,4,"Mcm5",84.925003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mcm5"
"5836",-0.511498487764584,0.202,0.553,3.15584879738479e-156,4,"Ezh2",74.050003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ezh2"
"5837",0.344283060342253,0.575,0.216,4.05360370018554e-156,4,"Mitf",104.125,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mitf"
"5838",-0.77869717235636,0.287,0.575,7.41717552220931e-156,4,"Atad2",46.575001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Atad2"
"5839",-0.551650966774282,0.241,0.583,1.20229137503364e-155,4,"Cks1b",104.125,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cks1b"
"5840",0.529876934196681,0.921,0.851,1.37231824142487e-155,4,"Mif",42.424999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mif"
"5841",0.395107580724013,0.817,0.565,3.37254529631574e-155,4,"Soat1",42.650002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Soat1"
"5842",0.411699188199677,0.548,0.209,4.59127096743256e-155,4,"Ank",40.5,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ank"
"5843",0.391052944558144,0.926,0.787,3.00589876864391e-154,4,"Aldh2",NA,NA,NA,NA
"5844",0.268633391361568,0.437,0.106,1.46317165713427e-153,4,"Nexn",NA,NA,NA,NA
"5845",0.338709583976127,0.431,0.121,4.24182613103866e-153,4,"Fabp3",NA,NA,NA,NA
