"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fcrl1.3",4.45354558207409e-09,-0.00987370072599142,0.13,0.158,0.000104306491077757,"5","Fcrl1"
"Nampt.3",4.47161630936124e-09,0.028160578624362,0.302,0.29,0.00010472972558155,"5","Nampt"
"Cltc.4",4.71660217741503e-09,0.0388163839616067,0.975,0.978,0.000110467539597237,"5","Cltc"
"1810058I24Rik.4",4.71700852300696e-09,0.0194797465398139,0.659,0.674,0.000110477056617346,"5","1810058I24Rik"
"Shmt1.3",4.85046169879121e-09,-0.0265753206823743,0.121,0.161,0.000113602663447389,"5","Shmt1"
"Gbp3.2",5.37464364798693e-09,0.00606359260002537,0.223,0.239,0.000125879528879502,"5","Gbp3"
"Vill.2",5.42191174547054e-09,0.0227560532936482,0.167,0.165,0.000126986594990665,"5","Vill"
"Socs3.2",5.43309140767401e-09,0.0169294797776642,0.128,0.129,0.000127248433859133,"5","Socs3"
"Kif1b.4",5.51518555879486e-09,-0.0446030928902357,0.594,0.65,0.000129171160972535,"5","Kif1b"
"Eps8.2",5.79237670091236e-09,-0.020460637328504,0.162,0.198,0.000135663254712068,"5","Eps8"
"Fam162a.3",5.93311215319609e-09,-0.0174237373651795,0.454,0.5,0.000138959419740006,"5","Fam162a"
"Smagp.3",6.02994713203887e-09,0.0358541148637989,0.46,0.439,0.000141227391779482,"5","Smagp"
"Dtx3l.3",6.64548674566277e-09,0.00163471744672225,0.222,0.243,0.000155643945070168,"5","Dtx3l"
"Ing5.3",6.81188206289513e-09,-0.00279542626909282,0.175,0.2,0.000159541089795067,"5","Ing5"
"Wdr60.4",7.14165536787999e-09,-0.0121751457177259,0.176,0.209,0.000167264710371117,"5","Wdr60"
"Gem.3",7.40614700759066e-09,0.0079354899146636,0.096,0.105,0.000173459369064781,"5","Gem"
"Osm.3",7.57689041090018e-09,0.0232377995131379,0.115,0.11,0.000177458350313693,"5","Osm"
"Calm1.2",7.64589121763132e-09,0.0341674995082508,0.986,0.991,0.000179074418208143,"5","Calm1"
"Tspo.3",7.9358096018781e-09,-0.0571655396021887,0.692,0.742,0.000185864596685587,"5","Tspo"
"Chchd10.3",7.94928257038177e-09,-0.0298859573643,0.076,0.109,0.000186180147080911,"5","Chchd10"
"Spsb1.3",8.13215066613074e-09,0.0198517637203296,0.236,0.236,0.000190463100751448,"5","Spsb1"
"Icosl.4",8.21297622266713e-09,0.0196209904739737,0.274,0.278,0.000192356116111087,"5","Icosl"
"Prkch.3",8.24649910091517e-09,-0.00610297119332723,0.135,0.162,0.000193141255442534,"5","Prkch"
"Irf2bpl.2",8.56158819606809e-09,-0.0222576315029013,0.626,0.674,0.000200520957140111,"5","Irf2bpl"
"Bcl11a.4",8.80232282181412e-09,-0.0378405974485857,0.138,0.18,0.000206159202809709,"5","Bcl11a"
"Ndufv3.3",8.9429119644716e-09,0.013570651626257,0.782,0.803,0.000209451941119889,"5","Ndufv3"
"Nop56.4",9.40141128003669e-09,-0.0698365489508389,0.756,0.788,0.000220190453589739,"5","Nop56"
"Ctsl.4",9.46540284049152e-09,-0.0831161170776054,1,0.998,0.000221689199927152,"5","Ctsl"
