id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,microglia_4|microglia_4,microglia_4|microglia_5,microglia_4|oligos_7,microglia_4|opcs_2,microglia_4|opcs_9,microglia_5|microglia_4,microglia_5|microglia_5,microglia_5|oligos_7,microglia_5|opcs_2,microglia_5|opcs_9,oligos_7|microglia_4,oligos_7|microglia_5,oligos_7|oligos_7,oligos_7|opcs_2,oligos_7|opcs_9,opcs_2|microglia_4,opcs_2|microglia_5,opcs_2|oligos_7,opcs_2|opcs_2,opcs_2|opcs_9,opcs_9|microglia_4,opcs_9|microglia_5,opcs_9|oligos_7,opcs_9|opcs_2,opcs_9|opcs_9
CPI-SS00EDDD458,EGFR_MIF,simple:P00533,simple:P14174,ENSG00000146648,ENSG00000240972,TRUE,TRUE,FALSE,"IMEx,InnateDB-All",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0055264F3,EGFR_TGFB1,simple:P00533,simple:P01137,ENSG00000146648,ENSG00000105329,TRUE,TRUE,FALSE,"IMEx,InnateDB-All,MINT",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E25CE362,EGFR_TGFA,simple:P00533,simple:P01135,ENSG00000146648,ENSG00000163235,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0F4D30D5A,EGFR_EGF,simple:P00533,simple:P01133,ENSG00000146648,ENSG00000138798,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0BF9FA3F2,ERBB3_NRG1,simple:P21860,simple:Q02297,ENSG00000065361,ENSG00000157168,TRUE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS00A953C3A,EGF_NRG1,simple:P01133,simple:Q02297,ENSG00000138798,ENSG00000157168,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS09375CA29,ADGRL1_NRG1,simple:O94910,simple:Q02297,ENSG00000072071,ENSG00000157168,TRUE,TRUE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B02DE712,EGFR_NRG1,simple:P00533,simple:Q02297,ENSG00000146648,ENSG00000157168,TRUE,TRUE,TRUE,"I2D,IMEx,InnateDB-All,IntAct",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0C10824C7,EGFR_HBEGF,simple:P00533,simple:Q99075,ENSG00000146648,ENSG00000113070,TRUE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0DC2A6D35,IL6_HRH1,simple:P05231,simple:P35367,ENSG00000136244,ENSG00000196639,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS021F26C73,SCT_SCTR,simple:P09683,simple:P47872,ENSG00000070031,ENSG00000080293,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS05A26A1DE,PDGFB_PDGFRB,simple:P01127,simple:P09619,ENSG00000100311,ENSG00000113721,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B9E8C0DE,EPHB2_EFNB2,simple:P29323,simple:P52799,ENSG00000133216,ENSG00000125266,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
